date        NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
194504   7.06  11.06   8.38   6.90   8.07   2.52   6.68   6.41   9.95   8.87
194505   2.47   0.78   0.78  -0.84   1.79   3.73   6.27   4.13   1.95   2.99
194506   0.69  -1.61  -0.22  -0.49  -1.90   2.59  -3.52  -4.67   4.85   4.35
194507  -1.39  -0.94  -2.95  -3.27  -1.71   2.19  -0.88  -1.62  -0.44  -5.35
194508   7.63   9.42   8.75   2.21   9.67   1.69   8.28   9.30   1.17   2.47
194509   6.23   2.79   6.14   1.91   3.35   1.99   5.72   6.57   6.51   6.06
194510   6.66   0.09   2.34   6.33   0.74   2.34   6.29   6.39   5.93   5.72
194511   3.62   2.62   4.88   8.36   2.61   3.39   6.35   8.62   4.96   9.01
194512   1.13   2.53   1.54  -0.23   2.58   0.48   2.21   1.27  -0.91   0.11
194601   5.27   6.59   7.95  -0.08   6.51   1.94  10.50   7.61  10.60   7.55
194602  -4.84  -8.89  -6.06  -4.70  -7.42  -2.85  -4.01  -4.14  -5.49  -6.23
194603   6.37   1.00   5.75  11.04   1.97   1.28  11.71  14.71   6.46   4.63
194604   3.62   1.47   4.30   8.75   1.47   1.57   7.88  14.91   4.25   1.56
194605   3.43   5.06   4.88   3.62   5.08   2.80   2.20   5.58   2.94   3.58
194606  -3.64  -5.92  -3.54  -3.16  -5.29   0.42  -7.85  -5.50  -2.82  -3.30
194607  -0.78  -4.75  -3.20  -0.03  -3.43  -0.06  -2.39  -3.13  -3.47  -4.99
194608  -5.24 -10.33  -6.64  -5.61  -6.82  -6.92  -4.88  -3.22  -5.51  -6.64
194609 -10.35 -14.76 -10.32  -8.00  -9.81  -4.81  -6.58  -7.02  -8.73 -14.32
194610   0.49  -3.34  -1.82  -0.67  -2.85  -5.13  -2.64  -0.28   1.53  -0.20
194611  -1.08  -1.12   1.80   0.56  -2.26   1.81  -4.64   1.64   0.74   0.37
194612   3.84   6.17   6.64   4.34   4.85   3.72   4.93   7.40   6.06   2.78
194701   0.43  10.77   0.88  -0.65   5.40   0.97   3.08  -5.35  -0.37   0.50
